id_unique,Start,End,StartH,EndH,Seat
130307,18/06/2013 06:30,18/06/2013 13:30,1,15,
157283,18/06/2013 06:30,18/06/2013 17:00,1,22,
624150,18/06/2013 06:30,18/06/2013 12:00,1,12,
737874,18/06/2013 06:30,18/06/2013 11:30,1,11,
925831,18/06/2013 06:30,18/06/2013 16:30,1,21,
33554,18/06/2013 07:00,18/06/2013 17:00,2,22,
126333,18/06/2013 07:00,18/06/2013 14:30,2,17,
455530,18/06/2013 07:00,18/06/2013 17:00,2,22,
731314,18/06/2013 07:00,18/06/2013 16:30,2,21,
53300,18/06/2013 07:30,18/06/2013 17:30,3,23,
657288,18/06/2013 07:30,18/06/2013 17:30,3,23,
765261,18/06/2013 07:30,18/06/2013 17:30,3,23,
939721,18/06/2013 07:30,18/06/2013 13:30,3,15,
236538,18/06/2013 08:00,18/06/2013 18:00,4,24,
447058,18/06/2013 08:00,18/06/2013 18:00,4,24,
481312,18/06/2013 08:00,18/06/2013 13:30,4,15,
496150,18/06/2013 08:00,18/06/2013 18:00,4,24,
70164,18/06/2013 08:30,18/06/2013 15:00,5,18,
572207,18/06/2013 08:30,18/06/2013 14:00,5,16,
351336,18/06/2013 09:00,18/06/2013 17:00,6,22,
571670,18/06/2013 09:00,18/06/2013 19:00,6,26,
574789,18/06/2013 09:00,18/06/2013 16:00,6,20,
732892,18/06/2013 09:00,18/06/2013 14:00,6,16,
769213,18/06/2013 09:00,18/06/2013 14:00,6,16,
789283,18/06/2013 09:00,18/06/2013 13:30,6,15,
877787,18/06/2013 09:00,18/06/2013 14:00,6,16,
981411,18/06/2013 09:00,18/06/2013 19:00,6,26,
70830,18/06/2013 10:30,18/06/2013 19:30,9,27,
94083,18/06/2013 11:00,18/06/2013 20:30,10,29,
145233,18/06/2013 11:00,18/06/2013 20:00,10,28,
898912,18/06/2013 11:00,18/06/2013 20:00,10,28,
493296,18/06/2013 11:30,18/06/2013 20:30,11,29,
808284,18/06/2013 11:30,18/06/2013 19:30,11,27,
869646,18/06/2013 11:30,18/06/2013 21:30,11,31,
59950,18/06/2013 12:00,18/06/2013 18:30,12,25,
86173,18/06/2013 12:00,18/06/2013 22:00,12,32,
305690,18/06/2013 12:00,18/06/2013 21:30,12,31,
773545,18/06/2013 12:00,18/06/2013 22:00,12,32,
821417,18/06/2013 12:30,18/06/2013 22:00,13,32,
38791,18/06/2013 13:00,18/06/2013 22:30,14,33,
130746,18/06/2013 13:00,18/06/2013 22:30,14,33,
190413,18/06/2013 13:00,18/06/2013 22:00,14,32,
455584,18/06/2013 13:00,18/06/2013 22:30,14,33,
515269,18/06/2013 13:00,18/06/2013 22:00,14,32,
679841,18/06/2013 13:30,18/06/2013 22:30,15,33,
199617,18/06/2013 14:00,18/06/2013 23:30,16,35,
468416,18/06/2013 15:30,19/06/2013 00:00,19,36,
470453,18/06/2013 15:30,19/06/2013 00:00,19,36,
166419,18/06/2013 16:00,19/06/2013 01:30,20,39,
339824,18/06/2013 16:00,19/06/2013 02:00,20,40,
527408,18/06/2013 16:00,18/06/2013 23:30,20,35,
545569,18/06/2013 16:00,19/06/2013 01:30,20,39,
754948,18/06/2013 16:00,19/06/2013 00:00,20,36,
794773,18/06/2013 16:00,18/06/2013 23:30,20,35,
574141,18/06/2013 16:30,19/06/2013 00:30,21,37,
602783,18/06/2013 16:30,19/06/2013 01:00,21,38,
698808,18/06/2013 16:30,19/06/2013 00:30,21,37,
800017,18/06/2013 16:30,19/06/2013 00:30,21,37,
414877,18/06/2013 17:00,19/06/2013 00:30,22,37,
38178,18/06/2013 17:30,19/06/2013 00:00,23,36,
501521,18/06/2013 17:30,19/06/2013 03:30,23,43,
979505,18/06/2013 17:30,19/06/2013 04:00,23,44,
986245,18/06/2013 17:30,19/06/2013 03:30,23,43,
301623,18/06/2013 18:00,19/06/2013 03:30,24,43,
399447,18/06/2013 18:30,19/06/2013 03:30,25,43,
988180,18/06/2013 18:30,18/06/2013 22:00,25,32,
927082,18/06/2013 19:00,18/06/2013 22:00,26,32,
359142,18/06/2013 20:00,19/06/2013 03:30,28,43,
688028,18/06/2013 21:00,19/06/2013 06:30,30,49,
690937,18/06/2013 21:00,19/06/2013 06:30,30,49,
735428,18/06/2013 21:00,19/06/2013 04:30,30,45,
753239,18/06/2013 22:30,19/06/2013 06:30,33,49,
153707,18/06/2013 23:00,19/06/2013 06:30,34,49,
176945,18/06/2013 23:00,19/06/2013 07:00,34,50,
228236,18/06/2013 23:00,19/06/2013 06:30,34,49,
698855,18/06/2013 23:00,19/06/2013 07:00,34,50,
891194,19/06/2013 00:00,19/06/2013 00:30,36,37,
58138,19/06/2013 06:30,19/06/2013 17:00,49,70,
106879,19/06/2013 06:30,19/06/2013 16:30,49,69,
130307,19/06/2013 06:30,19/06/2013 11:30,49,59,
343038,19/06/2013 06:30,19/06/2013 16:30,49,69,
353379,19/06/2013 06:30,19/06/2013 16:30,49,69,
624150,19/06/2013 06:30,19/06/2013 11:30,49,59,
681130,19/06/2013 06:30,19/06/2013 16:30,49,69,
732892,19/06/2013 06:30,19/06/2013 11:30,49,59,
737874,19/06/2013 06:30,19/06/2013 11:30,49,59,
887296,19/06/2013 06:30,19/06/2013 16:30,49,69,
126333,19/06/2013 07:00,19/06/2013 13:30,50,63,
172469,19/06/2013 07:00,19/06/2013 16:30,50,69,
845061,19/06/2013 07:00,19/06/2013 16:30,50,69,
53300,19/06/2013 07:30,19/06/2013 17:30,51,71,
939721,19/06/2013 07:30,19/06/2013 13:30,51,63,
236538,19/06/2013 08:00,19/06/2013 18:00,52,72,
447058,19/06/2013 08:00,19/06/2013 17:30,52,71,
481312,19/06/2013 08:00,19/06/2013 13:30,52,63,
657288,19/06/2013 08:00,19/06/2013 17:30,52,71,
765261,19/06/2013 08:00,19/06/2013 18:00,52,72,
465713,19/06/2013 08:30,19/06/2013 17:00,53,70,
571670,19/06/2013 08:30,19/06/2013 18:30,53,73,
572207,19/06/2013 09:00,19/06/2013 14:00,54,64,
574789,19/06/2013 09:00,19/06/2013 18:30,54,73,
731314,19/06/2013 09:00,19/06/2013 18:30,54,73,
769213,19/06/2013 09:00,19/06/2013 14:00,54,64,
789283,19/06/2013 09:00,19/06/2013 13:30,54,63,
38791,19/06/2013 10:00,19/06/2013 19:30,56,75,
496150,19/06/2013 10:00,19/06/2013 16:00,56,68,
86173,19/06/2013 11:00,19/06/2013 20:30,58,77,
94083,19/06/2013 11:00,19/06/2013 20:30,58,77,
138001,19/06/2013 11:00,19/06/2013 21:00,58,78,
537701,19/06/2013 11:00,19/06/2013 20:30,58,77,
609904,19/06/2013 11:00,19/06/2013 12:00,58,60,
743773,19/06/2013 11:00,19/06/2013 21:00,58,78,
59950,19/06/2013 11:30,19/06/2013 17:30,59,71,
214894,19/06/2013 11:30,19/06/2013 23:00,59,82,
808284,19/06/2013 11:30,19/06/2013 22:00,59,80,
869646,19/06/2013 11:30,19/06/2013 21:30,59,79,
915075,19/06/2013 11:30,19/06/2013 22:00,59,80,
92872,19/06/2013 12:00,19/06/2013 22:00,60,80,
130746,19/06/2013 12:00,19/06/2013 22:00,60,80,
192578,19/06/2013 12:00,19/06/2013 22:00,60,80,
455584,19/06/2013 12:00,19/06/2013 22:00,60,80,
773545,19/06/2013 12:00,19/06/2013 21:30,60,79,
655988,19/06/2013 13:00,19/06/2013 22:30,62,81,
990611,19/06/2013 13:00,19/06/2013 23:00,62,82,
527408,19/06/2013 14:00,19/06/2013 22:30,64,81,
339824,19/06/2013 15:30,20/06/2013 02:00,67,88,
468416,19/06/2013 15:30,19/06/2013 23:30,67,83,
470453,19/06/2013 15:30,19/06/2013 23:30,67,83,
782352,19/06/2013 15:30,20/06/2013 01:30,67,87,
231145,19/06/2013 16:00,19/06/2013 21:00,68,78,
283302,19/06/2013 16:00,20/06/2013 00:00,68,84,
338397,19/06/2013 16:00,20/06/2013 02:00,68,88,
545569,19/06/2013 16:00,20/06/2013 02:00,68,88,
754948,19/06/2013 16:00,20/06/2013 00:00,68,84,
794773,19/06/2013 16:00,19/06/2013 23:30,68,83,
988180,19/06/2013 16:00,19/06/2013 23:30,68,83,
414877,19/06/2013 17:00,20/06/2013 00:30,70,85,
501521,19/06/2013 17:00,20/06/2013 02:30,70,89,
574141,19/06/2013 17:00,20/06/2013 00:30,70,85,
698808,19/06/2013 17:00,20/06/2013 00:30,70,85,
800017,19/06/2013 17:00,20/06/2013 01:00,70,86,
891194,19/06/2013 17:00,20/06/2013 01:00,70,86,
38178,19/06/2013 17:30,20/06/2013 04:00,71,92,
979505,19/06/2013 17:30,20/06/2013 03:30,71,91,
986245,19/06/2013 17:30,20/06/2013 04:00,71,92,
266851,19/06/2013 18:00,20/06/2013 04:00,72,92,
927082,19/06/2013 18:00,19/06/2013 21:30,72,79,
359142,19/06/2013 19:00,20/06/2013 04:30,74,93,
227085,19/06/2013 20:00,20/06/2013 05:30,76,95,
688028,19/06/2013 21:00,20/06/2013 06:30,78,97,
59950,19/06/2013 22:00,19/06/2013 23:00,80,82,
153707,19/06/2013 23:00,20/06/2013 07:00,82,98,
176945,19/06/2013 23:00,20/06/2013 07:00,82,98,
620947,19/06/2013 23:00,20/06/2013 06:30,82,97,
698855,19/06/2013 23:00,20/06/2013 07:00,82,98,
753239,19/06/2013 23:00,20/06/2013 05:00,82,94,
228236,20/06/2013 01:30,20/06/2013 06:00,87,96,
737874,20/06/2013 06:00,20/06/2013 10:30,96,105,
58138,20/06/2013 06:30,20/06/2013 16:30,97,117,
172469,20/06/2013 06:30,20/06/2013 17:00,97,118,
343038,20/06/2013 06:30,20/06/2013 16:30,97,117,
624150,20/06/2013 06:30,20/06/2013 11:30,97,107,
732892,20/06/2013 06:30,20/06/2013 11:30,97,107,
609904,20/06/2013 07:00,20/06/2013 15:30,98,115,
681130,20/06/2013 07:00,20/06/2013 16:30,98,117,
845061,20/06/2013 07:00,20/06/2013 16:30,98,117,
657288,20/06/2013 07:30,20/06/2013 18:00,99,120,
887296,20/06/2013 07:30,20/06/2013 17:30,99,119,
447058,20/06/2013 08:00,20/06/2013 17:30,100,119,
481312,20/06/2013 08:00,20/06/2013 13:30,100,111,
731314,20/06/2013 08:00,20/06/2013 17:30,100,119,
765261,20/06/2013 08:00,20/06/2013 17:30,100,119,
572207,20/06/2013 08:30,20/06/2013 14:00,101,112,
789283,20/06/2013 08:30,20/06/2013 13:30,101,111,
38791,20/06/2013 09:00,20/06/2013 18:30,102,121,
53300,20/06/2013 09:00,20/06/2013 18:30,102,121,
122331,20/06/2013 09:00,20/06/2013 18:30,102,121,
236538,20/06/2013 09:00,20/06/2013 19:00,102,122,
465713,20/06/2013 09:00,20/06/2013 16:30,102,117,
571670,20/06/2013 09:00,20/06/2013 18:30,102,121,
574789,20/06/2013 09:00,20/06/2013 18:30,102,121,
769213,20/06/2013 09:00,20/06/2013 14:00,102,112,
496150,20/06/2013 10:00,20/06/2013 18:00,104,120,
92872,20/06/2013 10:30,20/06/2013 21:00,105,126,
93772,20/06/2013 11:00,20/06/2013 19:30,106,123,
321647,20/06/2013 11:00,20/06/2013 19:30,106,123,
353379,20/06/2013 11:00,20/06/2013 21:00,106,126,
602900,20/06/2013 11:00,20/06/2013 20:00,106,124,
607083,20/06/2013 11:00,20/06/2013 20:00,106,124,
899189,20/06/2013 11:00,20/06/2013 15:30,106,115,
915075,20/06/2013 11:00,20/06/2013 22:30,106,129,
967583,20/06/2013 11:00,20/06/2013 19:30,106,123,
399447,20/06/2013 11:30,20/06/2013 19:30,107,123,
59950,20/06/2013 12:00,20/06/2013 17:30,108,119,
138001,20/06/2013 12:00,20/06/2013 22:00,108,128,
537701,20/06/2013 12:00,20/06/2013 21:30,108,127,
192578,20/06/2013 13:00,20/06/2013 22:30,110,129,
743773,20/06/2013 13:00,20/06/2013 22:30,110,129,
990611,20/06/2013 13:00,20/06/2013 22:30,110,129,
679841,20/06/2013 13:30,20/06/2013 22:30,111,129,
858604,20/06/2013 14:00,20/06/2013 20:00,112,124,
214894,20/06/2013 15:30,21/06/2013 01:30,115,135,
339824,20/06/2013 15:30,21/06/2013 02:00,115,136,
767564,20/06/2013 15:30,20/06/2013 23:30,115,131,
782352,20/06/2013 15:30,21/06/2013 01:30,115,135,
283302,20/06/2013 16:00,20/06/2013 23:30,116,131,
338397,20/06/2013 16:00,21/06/2013 01:30,116,135,
715012,20/06/2013 16:00,21/06/2013 01:30,116,135,
750961,20/06/2013 16:00,20/06/2013 22:30,116,129,
8821,20/06/2013 17:00,21/06/2013 00:30,118,133,
70164,20/06/2013 17:00,21/06/2013 00:30,118,133,
266851,20/06/2013 17:00,21/06/2013 01:00,118,134,
703190,20/06/2013 17:00,21/06/2013 00:30,118,133,
880808,20/06/2013 17:00,21/06/2013 00:30,118,133,
944615,20/06/2013 17:00,21/06/2013 01:00,118,134,
512923,20/06/2013 17:30,21/06/2013 04:00,119,140,
359142,20/06/2013 18:00,21/06/2013 04:00,120,140,
501521,20/06/2013 18:00,21/06/2013 04:00,120,140,
744925,20/06/2013 18:00,20/06/2013 21:00,120,126,
832227,20/06/2013 18:00,21/06/2013 03:30,120,139,
927082,20/06/2013 18:00,20/06/2013 21:30,120,127,
38178,20/06/2013 18:30,20/06/2013 22:00,121,128,
979505,20/06/2013 18:30,21/06/2013 04:30,121,141,
986245,20/06/2013 18:30,21/06/2013 05:00,121,142,
853992,20/06/2013 19:00,21/06/2013 00:00,122,132,
8041,20/06/2013 20:00,21/06/2013 05:30,124,143,
227085,20/06/2013 20:00,21/06/2013 04:00,124,140,
483269,20/06/2013 20:00,21/06/2013 01:30,124,135,
688028,20/06/2013 21:00,21/06/2013 06:30,126,145,
153707,20/06/2013 22:30,21/06/2013 06:30,129,145,
753239,20/06/2013 22:30,21/06/2013 06:30,129,145,
176945,20/06/2013 23:00,21/06/2013 07:00,130,146,
228236,20/06/2013 23:00,21/06/2013 02:30,130,137,
698855,20/06/2013 23:00,21/06/2013 06:30,130,145,
882116,20/06/2013 23:00,21/06/2013 06:30,130,145,
38178,21/06/2013 03:00,21/06/2013 05:00,138,142,
732892,21/06/2013 06:00,21/06/2013 11:00,144,154,
737874,21/06/2013 06:00,21/06/2013 11:00,144,154,
58138,21/06/2013 06:30,21/06/2013 16:30,145,165,
172469,21/06/2013 06:30,21/06/2013 17:00,145,166,
343038,21/06/2013 06:30,21/06/2013 16:30,145,165,
86173,21/06/2013 07:00,21/06/2013 16:30,146,165,
353379,21/06/2013 07:00,21/06/2013 16:30,146,165,
447058,21/06/2013 07:00,21/06/2013 17:00,146,166,
572207,21/06/2013 07:00,21/06/2013 13:00,146,158,
609904,21/06/2013 07:00,21/06/2013 10:00,146,152,
657288,21/06/2013 07:00,21/06/2013 17:00,146,166,
765261,21/06/2013 07:00,21/06/2013 11:30,146,155,
887296,21/06/2013 07:30,21/06/2013 18:00,147,168,
38791,21/06/2013 08:00,21/06/2013 17:30,148,167,
122331,21/06/2013 08:00,21/06/2013 17:30,148,167,
236538,21/06/2013 08:00,21/06/2013 18:00,148,168,
571670,21/06/2013 08:00,21/06/2013 17:30,148,167,
731314,21/06/2013 08:00,21/06/2013 18:00,148,168,
153669,21/06/2013 08:30,21/06/2013 13:30,149,159,
364323,21/06/2013 08:30,21/06/2013 13:30,149,159,
465713,21/06/2013 08:30,21/06/2013 16:30,149,165,
574789,21/06/2013 08:30,21/06/2013 18:30,149,169,
468416,21/06/2013 09:00,21/06/2013 14:00,150,160,
769213,21/06/2013 09:00,21/06/2013 14:00,150,160,
789283,21/06/2013 09:00,21/06/2013 13:30,150,159,
877787,21/06/2013 09:00,21/06/2013 13:30,150,159,
496150,21/06/2013 10:00,21/06/2013 18:00,152,168,
70830,21/06/2013 10:30,21/06/2013 20:30,153,173,
408514,21/06/2013 10:30,21/06/2013 20:30,153,173,
967583,21/06/2013 10:30,21/06/2013 20:00,153,172,
93772,21/06/2013 11:00,21/06/2013 19:30,154,171,
138001,21/06/2013 11:00,21/06/2013 21:00,154,174,
321647,21/06/2013 11:00,21/06/2013 19:30,154,171,
602900,21/06/2013 11:00,21/06/2013 19:30,154,171,
607083,21/06/2013 11:00,21/06/2013 20:30,154,173,
679841,21/06/2013 11:00,21/06/2013 21:00,154,174,
537701,21/06/2013 11:30,21/06/2013 22:00,155,176,
